"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"distanceToTSS"
"chr2"	1582508	1582800	293	"*"	931	"SRX699738"	"JUND"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	165491
"chr2"	1588941	1589141	201	"*"	496	"SRX080406"	"CTCF"	"HBMEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	159150
"chr2"	1588980	1589116	137	"*"	171	"SRX080373"	"CTCF"	"HBMEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	159175
"chr2"	1589008	1589130	123	"*"	162	"SRX080395"	"CTCF"	"HCFaa"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	159161
"chr2"	1592887	1593057	171	"*"	300	"SRX080406"	"CTCF"	"HBMEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	155234
"chr2"	1593151	1593322	172	"*"	361	"SRX080406"	"CTCF"	"HBMEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	154969
"chr2"	1594296	1594651	356	"*"	174	"SRX7054614"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153640
"chr2"	1594350	1594508	159	"*"	109	"SRX150358"	"JUN"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153783
"chr2"	1594354	1594606	253	"*"	110	"SRX7054611"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153685
"chr2"	1594354	1594689	336	"*"	314	"SRX7054617"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153602
"chr2"	1594362	1594614	253	"*"	345	"SRX2207672"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153677
"chr2"	1594365	1594624	260	"*"	194	"SRX2671799"	"EP300"	"Endothelial Cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153667
"chr2"	1594368	1594662	295	"*"	678	"SRX2207673"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153629
"chr2"	1594375	1594578	204	"*"	169	"SRX7054666"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153713
"chr2"	1594384	1594565	182	"*"	155	"SRX7055007"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153726
"chr2"	1594384	1594577	194	"*"	92	"SRX7054609"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153714
"chr2"	1594384	1594716	333	"*"	1000	"SRX393518"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153575
"chr2"	1594386	1594697	312	"*"	1000	"SRX393516"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153594
"chr2"	1594390	1594589	200	"*"	137	"SRX7054623"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153702
"chr2"	1594394	1594600	207	"*"	140	"SRX7054615"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153691
