"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"
"chr2"	1579074	1579219	146	"*"	146	"SRX176864"	"GATA3"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	90706
"chr2"	1582504	1582789	286	"*"	447	"SRX883584"	"JUN"	"MDA-MB-231"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94136
"chr2"	1582556	1582725	170	"*"	239	"SRX150476"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94188
"chr2"	1582573	1582721	149	"*"	289	"SRX150477"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94205
"chr2"	1582580	1582722	143	"*"	181	"SRX150517"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94212
"chr2"	1582587	1582728	142	"*"	168	"SRX4192880"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94219
"chr2"	1582590	1582725	136	"*"	248	"SRX150478"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94222
"chr2"	1582615	1582721	107	"*"	127	"SRX190224"	"FOSL2"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94247
"chr2"	1582759	1582937	179	"*"	95	"SRX3856999"	"JUN"	"MDA-MB-231"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94391
"chr2"	1582762	1583007	246	"*"	81	"SRX3856995"	"JUN"	"MDA-MB-231"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94394
"chr2"	1583846	1583999	154	"*"	206	"SRX150478"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95478
"chr2"	1583847	1583982	136	"*"	190	"SRX150477"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95479
"chr2"	1583855	1584001	147	"*"	195	"SRX150476"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95487
"chr2"	1583857	1583979	123	"*"	157	"SRX4192880"	"FOS"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95489
"chr2"	1583859	1583976	118	"*"	110	"SRX150630"	"STAT3"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95491
"chr2"	1583861	1583907	47	"*"	189	"SRX107368"	"ESR1"	"H3396"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95493
"chr2"	1583862	1583912	51	"*"	208	"SRX107363"	"ESR1"	"H3396"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95494
"chr2"	1583871	1584009	139	"*"	86	"SRX150536"	"STAT3"	"MCF 10A"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95503
"chr2"	1583911	1584079	169	"*"	99	"SRX2585782"	"TP53"	"MDA-MB-231"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95543
"chr2"	1584008	1584195	188	"*"	140	"SRX1156535"	"SMARCA4"	"MDA-MB-231"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95640
"chr2"	1584650	1585149	500	"*"	119	"SRX250091"	"MYC"	"MDA-MB-453"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96282
"chr2"	1584701	1585081	381	"*"	105	"SRX3312986"	"PADI2"	"T-47D"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96333
"chr2"	1584709	1585055	347	"*"	109	"SRX3091903"	"ZFX"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96341
"chr2"	1584907	1585032	126	"*"	67	"SRX188943"	"MYC"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96539
"chr2"	1585832	1586104	273	"*"	137	"SRX5323862"	"STAT3"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97464
"chr2"	1585832	1586165	334	"*"	333	"SRX3931097"	"GRHL2"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97464
"chr2"	1585846	1586191	346	"*"	394	"SRX3931098"	"GRHL2"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97478
"chr2"	1585852	1586149	298	"*"	282	"SRX3931059"	"GRHL2"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97484
"chr2"	1585855	1586142	288	"*"	661	"SRX1787658"	"GRHL2"	"MCF-7"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97487
