"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"
"chr2"	1579083	1579398	316	"*"	95	"SRX7276675"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	90715
"chr2"	1583343	1583490	148	"*"	115	"SRX8013010"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94975
"chr2"	1583616	1584187	572	"*"	374	"SRX2749139"	"EP300"	"786-O"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95248
"chr2"	1583792	1583993	202	"*"	216	"SRX1515020"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95424
"chr2"	1583802	1583950	149	"*"	86	"SRX1514944"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95434
"chr2"	1583832	1584100	269	"*"	140	"SRX3636888"	"ZHX2"	"Carcinoma, Renal Cell"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95464
"chr2"	1583874	1584143	270	"*"	123	"SRX3636887"	"ZHX2"	"Carcinoma, Renal Cell"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95506
"chr2"	1584439	1585359	921	"*"	331	"SRX1055105"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96071
"chr2"	1584464	1585431	968	"*"	296	"SRX1055111"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96096
"chr2"	1584479	1585334	856	"*"	250	"SRX1055107"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96111
"chr2"	1584485	1585598	1114	"*"	376	"SRX1055109"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96117
"chr2"	1584498	1585254	757	"*"	206	"SRX7276675"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96130
"chr2"	1584513	1585065	553	"*"	159	"SRX7276679"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96145
"chr2"	1584527	1585188	662	"*"	150	"SRX3091916"	"ZFX"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96159
"chr2"	1584527	1585188	662	"*"	150	"SRX7805360"	"ZFX"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96159
"chr2"	1584547	1584928	382	"*"	117	"SRX4892338"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96179
"chr2"	1584554	1585264	711	"*"	165	"SRX7276677"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96186
"chr2"	1584560	1585089	530	"*"	128	"SRX3091917"	"ZFX"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96192
"chr2"	1584560	1585089	530	"*"	128	"SRX7805361"	"ZFX"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96192
"chr2"	1584745	1585033	289	"*"	79	"SRX359408"	"CREBBP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96377
"chr2"	1584807	1584966	160	"*"	104	"SRX3657349"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96439
"chr2"	1585548	1585742	195	"*"	127	"SRX2671521"	"Epitope tags"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97180
"chr2"	1585578	1585723	146	"*"	135	"SRX1514953"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97210
"chr2"	1585827	1585951	125	"*"	78	"SRX1514994"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97459
"chr2"	1586306	1586521	216	"*"	188	"SRX1515020"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97938
"chr2"	1586344	1586555	212	"*"	163	"SRX1514944"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97976
"chr2"	1586909	1587139	231	"*"	155	"SRX2513054"	"RUNX1"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	98541
"chr2"	1587901	1588260	360	"*"	173	"SRX2513054"	"RUNX1"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	99533
"chr2"	1588453	1588706	254	"*"	517	"SRX1515057"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100085
"chr2"	1588477	1588690	214	"*"	292	"SRX1515058"	"GFP"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100109
"chr2"	1588919	1589155	237	"*"	290	"SRX199894"	"CTCF"	"RPTEC"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100551
"chr2"	1588923	1589117	195	"*"	156	"SRX4958391"	"CTCF"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100555
"chr2"	1588927	1589169	243	"*"	245	"SRX1594217"	"CTCF"	"786-O"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100559
"chr2"	1588932	1589118	187	"*"	155	"SRX4958392"	"CTCF"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100564
"chr2"	1588933	1589113	181	"*"	125	"SRX4958396"	"CTCF"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100565
"chr2"	1588935	1589150	216	"*"	176	"SRX4958395"	"CTCF"	"293"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100567
"chr2"	1588937	1589204	268	"*"	352	"SRX1594218"	"CTCF"	"786-O"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100569
