"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"
"chr2"	1579022	1579620	599	"*"	149	"SRX107411"	"RUNX2"	"C4-2"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	90654
"chr2"	1580761	1581062	302	"*"	233	"ERX1965643"	"HOXB13"	"LHSAR"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	92393
"chr2"	1580782	1581026	245	"*"	262	"ERX1965642"	"HOXB13"	"LHSAR"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	92414
"chr2"	1582499	1582785	287	"*"	479	"SRX2731658"	"PBX4"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94131
"chr2"	1582562	1582739	178	"*"	374	"SRX1021630"	"DAXX"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94194
"chr2"	1582587	1582745	159	"*"	152	"SRX1021631"	"DAXX"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	94219
"chr2"	1583838	1584095	258	"*"	598	"SRX433202"	"AR"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95470
"chr2"	1583843	1584094	252	"*"	759	"SRX433201"	"AR"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95475
"chr2"	1583844	1584088	245	"*"	311	"SRX433197"	"AR"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95476
"chr2"	1583849	1584079	231	"*"	543	"SRX433198"	"AR"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95481
"chr2"	1583852	1583908	57	"*"	179	"SRX882966"	"5-hmC"	"LNCAP"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95484
"chr2"	1583911	1584085	175	"*"	113	"SRX2731658"	"PBX4"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95543
"chr2"	1583942	1584071	130	"*"	144	"SRX3342251"	"HIF1A"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	95574
"chr2"	1584612	1585100	489	"*"	132	"SRX276780"	"RING1"	"DU 145"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96244
"chr2"	1584617	1585010	394	"*"	69	"SRX276784"	"BMI1"	"DU 145"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	96249
"chr2"	1585993	1586120	128	"*"	139	"SRX1033272"	"GATA2"	"LNCAP"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	97625
"chr2"	1586736	1587176	441	"*"	491	"SRX882968"	"5-mC"	"LNCAP"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	98368
"chr2"	1586775	1587185	411	"*"	443	"SRX882970"	"5-mC"	"LNCAP"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	98407
"chr2"	1586800	1587115	316	"*"	241	"SRX882965"	"5-mC"	"LNCAP"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	98432
"chr2"	1588869	1589238	370	"*"	535	"SRX539668"	"CTCF"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100501
"chr2"	1588975	1589149	175	"*"	164	"SRX1021630"	"DAXX"	"PC-3"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	100607
"chr2"	1590778	1591319	542	"*"	1000	"SRX1067070"	"AR"	"LHSAR"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	102410
"chr2"	1590816	1591289	474	"*"	1000	"SRX1067071"	"AR"	"LHSAR"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	102448
"chr2"	1590827	1591284	458	"*"	1000	"SRX1067067"	"AR"	"LHSAR"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	102459
"chr2"	1590859	1591261	403	"*"	532	"SRX1067068"	"AR"	"LHSAR"	"Distal Intergenic"	1	1488368	1546499	58132	1	"7173"	"uc002qwz.3"	102491
